"name","size_bytes","currency","price","review_count","rating","content_rating","primary_genre","category","rating-2","review_count-2","size","install_count","type","price-2","content_rating-2","genres"
"Athletics 2: Summer Sports - Free","243888128","USD","0.00","2541","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Boom Beach","153955328","USD","0.00","241929","4.5","9+","Games","FAMILY","4.5",5591653,"95M","50,000,000+","Free","0","Everyone 10+","Strategy"
"Ketchapp Summer Sports","64692224","USD","0.00","3731","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Candy's Vacation - Beach Hotel","96538624","USD","0.00","105","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Britney Spears: American Dream","528184320","USD","0.00","2129","4.5","12+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Escape from the beach house of everlasting summer.","97858560","USD","0.00","3","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Beach Buggy Racing","115208192","USD","0.00","4386","4.5","9+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Athletics: Summer Sports (Full Version)","85116928","USD","0.99","365","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zombieville USA 2","175780864","USD","0.99","79683","4.5","12+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Athletics 2: Summer Sports","243613696","USD","1.99","333","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Farming USA","92385280","USD","1.99","987","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Farming USA 2","299749376","USD","2.99","269","4.5","4+","Games",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Beach Shoot Em Up: Head Hunter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAME","4.4",1218,"15M","500,000+","Free","0","Everyone 10+","Action"
"American Sniper City Fight Shooting Assassin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAME","4.1",395,"54M","50,000+","Free","0","Teen","Action"
"Beach Buggy Blitz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GAME","4.2",640974,"47M","50,000,000+","Free","0","Everyone","Racing"
